VentaID,Fecha,ClienteID,Segmento,Producto,Categoria,Region,Canal,Cantidad,PrecioUnitario,Descuento,VentaNeta,Margen,MedioPago
V00025,2025-03-30,C0258,Hogar,Casco de seguridad,Seguridad,La Libertad,Tienda,3,35,0.1,94.5,17.39,Efectivo
V00026,2024-04-20,C0446,Profesional,Foco LED,Electricidad,La Libertad,Marketplace,1,15,0.03,14.55,4.92,Efectivo
V00027,2024-09-02,C0331,Hogar,Martillo profesional,Herramientas,La Libertad,App,4,65,0.03,252.2,73.1,Tarjeta
V00028,2024-01-24,C0062,Profesional,Tubo PVC 1/2,Plomería,La Libertad,Tienda,2,8,0.1,14.4,2.49,Tarjeta
V00029,2024-07-24,C0156,Profesional,Tubo PVC 1/2,Plomería,Junín,Web,5,8,0.08,36.8,6.01,Efectivo
V00030,2024-07-23,C0066,Profesional,Llave de paso,Plomería,La Libertad,Web,2,28,0.0,56.0,9.55,Tarjeta
V00031,2025-09-23,C0403,Profesional,Casco de seguridad,Seguridad,Lima,Tienda,5,35,0.05,166.25,27.26,Transferencia
V00032,2025-12-12,C0151,Profesional,Llave de paso,Plomería,Arequipa,Marketplace,1,28,0.1,25.2,5.23,Transferencia
V00033,2025-03-12,C0278,Profesional,Foco LED,Electricidad,La Libertad,Tienda,3,15,0.1,40.5,5.08,Tarjeta
V00034,2024-05-12,C0467,Profesional,Brocha 3 pulgadas,Pinturas,Cusco,App,3,18,0.1,48.6,12.2,Plin
V00035,2024-07-02,C0399,Hogar,Guantes de trabajo,Seguridad,Cusco,Web,1,22,0.0,22.0,6.65,Plin
V00036,2024-03-27,C0188,Hogar,Casco de seguridad,Seguridad,Lima,Marketplace,7,35,0.05,232.75,49.06,Transferencia
V00037,2025-12-28,C0374,Profesional,Cemento 42.5kg,Construcción,La Libertad,Tienda,4,32,0.0,128.0,22.02,Tarjeta
V00038,2024-08-20,C0156,Hogar,Llave de paso,Plomería,La Libertad,Tienda,5,28,0.0,140.0,42.2,Efectivo
V00039,2025-01-29,C0011,Hogar,Martillo profesional,Herramientas,Junín,Tienda,2,65,0.0,130.0,18.9,Tarjeta
V00040,2025-08-28,C0159,Profesional,Llave de paso,Plomería,Piura,Marketplace,5,28,0.05,133.0,27.48,Efectivo
V00041,2024-06-15,C0125,Profesional,Foco LED,Electricidad,La Libertad,Tienda,1,15,0.0,15.0,2.58,Plin
V00042,2024-03-09,C0417,Hogar,Taladro inalámbrico,Herramientas,Cusco,Tienda,3,260,0.05,741.0,105.49,Efectivo
V00043,2024-08-22,C0402,Profesional,Guantes de trabajo,Seguridad,Arequipa,App,6,22,0.1,118.8,39.86,Transferencia
V00044,2025-12-07,C0429,Profesional,Brocha 3 pulgadas,Pinturas,Piura,Web,1,18,0.05,17.1,3.99,Yape
V00045,2024-04-30,C0209,Hogar,Pintura látex 4L,Pinturas,Cusco,Tienda,2,95,0.0,190.0,42.78,Yape
V00046,2024-06-21,C0149,Empresa,Brocha 3 pulgadas,Pinturas,Piura,Web,3,18,0.03,52.38,14.19,Efectivo
V00047,2024-12-23,C0327,Profesional,Alicate,Herramientas,Arequipa,Web,3,38,0.05,108.3,33.21,Plin
V00048,2025-03-12,C0348,Empresa,Taladro inalámbrico,Herramientas,La Libertad,Web,3,260,0.05,741.0,121.92,Tarjeta
V00049,2025-01-17,C0468,Hogar,Cable eléctrico 10m,Electricidad,La Libertad,App,1,42,0.05,39.9,5.53,Efectivo
V00050,2025-11-11,C0474,Hogar,Tubo PVC 1/2,Plomería,Piura,Tienda,5,8,0.08,36.8,10.85,Plin
V00051,2024-01-06,C0287,Profesional,Foco LED,Electricidad,Piura,App,5,15,0.0,75.0,18.32,Plin
V00052,2024-04-11,C0466,Hogar,Casco de seguridad,Seguridad,Piura,Tienda,6,35,0.05,199.5,50.26,Tarjeta
V00053,2024-06-01,C0336,Hogar,Llave de paso,Plomería,Piura,App,5,28,0.03,135.8,39.43,Efectivo
V00054,2024-08-16,C0079,Hogar,Cable eléctrico 10m,Electricidad,Lima,Web,2,42,0.03,81.48,15.41,Efectivo
V00055,2025-11-24,C0469,Profesional,Brocha 3 pulgadas,Pinturas,Arequipa,Tienda,3,18,0.05,51.3,12.4,Plin
V00056,2024-11-05,C0060,Empresa,Cable eléctrico 10m,Electricidad,La Libertad,Tienda,7,42,0.05,279.3,91.96,Transferencia
V00057,2024-03-10,C0228,Profesional,Llave de paso,Plomería,Cusco,Web,5,28,0.05,133.0,16.32,Yape
V00058,2025-06-23,C0391,Hogar,Cemento 42.5kg,Construcción,Cusco,Marketplace,4,32,0.03,124.16,39.99,Efectivo
V00059,2025-05-01,C0500,Profesional,Brocha 3 pulgadas,Pinturas,Lima,Tienda,2,18,0.08,33.12,4.75,Transferencia
V00060,2024-11-27,C0072,Profesional,Brocha 3 pulgadas,Pinturas,Piura,Marketplace,7,18,0.0,126.0,21.8,Tarjeta
V00061,2024-04-24,C0026,Profesional,Cemento 42.5kg,Construcción,La Libertad,Tienda,5,32,0.0,160.0,19.39,Efectivo
V00062,2025-12-08,C0464,Profesional,Cemento 42.5kg,Construcción,La Libertad,App,6,32,0.0,192.0,56.87,Transferencia
V00063,2025-05-24,C0253,Profesional,Llave de paso,Plomería,Arequipa,Marketplace,1,28,0.0,28.0,4.13,Transferencia
V00064,2024-01-12,C0136,Profesional,Llave de paso,Plomería,Arequipa,Web,2,28,0.05,53.2,8.64,Efectivo
V00065,2024-06-09,C0443,Profesional,Foco LED,Electricidad,Cusco,Tienda,1,15,0.05,14.25,1.84,Tarjeta
V00066,2025-01-31,C0393,Profesional,Alicate,Herramientas,La Libertad,Tienda,2,38,0.1,68.4,15.11,Plin
V00067,2025-01-27,C0350,Profesional,Pintura látex 4L,Pinturas,Cusco,Tienda,7,95,0.03,645.05,159.43,Efectivo
V00068,2024-04-04,C0060,Hogar,Llave de paso,Plomería,La Libertad,Tienda,4,28,0.03,108.64,24.37,Yape
V00069,2025-12-11,C0206,Hogar,Cable eléctrico 10m,Electricidad,La Libertad,Web,3,42,0.05,119.7,31.08,Yape
V00070,2024-12-14,C0238,Hogar,Cable eléctrico 10m,Electricidad,Lima,Web,3,42,0.0,126.0,26.72,Plin
V00071,2025-03-26,C0159,Profesional,Cable eléctrico 10m,Electricidad,Cusco,Web,5,42,0.05,199.5,52.58,Plin
V00072,2025-08-13,C0369,Empresa,Foco LED,Electricidad,Lima,Web,5,15,0.03,72.75,16.94,Efectivo
V00073,2025-01-14,C0419,Profesional,Brocha 3 pulgadas,Pinturas,Lima,Tienda,4,18,0.08,66.24,12.53,Tarjeta
V00074,2025-02-17,C0168,Hogar,Guantes de trabajo,Seguridad,Piura,App,6,22,0.0,132.0,23.99,Yape
V00075,2024-10-30,C0187,Hogar,Guantes de trabajo,Seguridad,Junín,Tienda,1,22,0.08,20.24,6.24,Transferencia
V00076,2024-11-24,C0387,Hogar,Foco LED,Electricidad,Piura,App,3,15,0.1,40.5,13.73,Transferencia
V00077,2025-05-08,C0105,Profesional,Alicate,Herramientas,Cusco,Tienda,3,38,0.05,108.3,13.25,Tarjeta
V00078,2024-05-26,C0420,Empresa,Llave de paso,Plomería,Arequipa,Web,6,28,0.1,151.2,36.64,Tarjeta
V00079,2024-01-31,C0217,Profesional,Guantes de trabajo,Seguridad,La Libertad,Tienda,3,22,0.0,66.0,18.89,Tarjeta
V00080,2024-05-20,C0147,Profesional,Pintura látex 4L,Pinturas,La Libertad,Web,7,95,0.0,665.0,113.87,Plin
V00081,2025-09-16,C0319,Profesional,Taladro inalámbrico,Herramientas,Cusco,App,1,260,0.0,260.0,79.45,Transferencia
V00082,2025-10-06,C0170,Profesional,Cable eléctrico 10m,Electricidad,Junín,App,1,42,0.03,40.74,9.72,Plin
V00083,2024-08-10,C0294,Empresa,Brocha 3 pulgadas,Pinturas,Cusco,Web,6,18,0.05,102.6,32.84,Yape
V00084,2025-12-30,C0459,Profesional,Guantes de trabajo,Seguridad,Cusco,Tienda,4,22,0.0,88.0,18.28,Tarjeta
V00085,2025-05-19,C0225,Hogar,Cemento 42.5kg,Construcción,Lima,Tienda,2,32,0.0,64.0,20.74,Plin
V00086,2025-06-05,C0491,Profesional,Tubo PVC 1/2,Plomería,La Libertad,App,2,8,0.05,15.2,3.94,Plin
V00087,2025-03-31,C0392,Empresa,Cable eléctrico 10m,Electricidad,Lima,App,7,42,0.05,279.3,92.7,Tarjeta
V00088,2024-10-31,C0485,Empresa,Alicate,Herramientas,Lima,App,4,38,0.05,144.4,38.11,Yape
V00089,2024-08-05,C0021,Profesional,Casco de seguridad,Seguridad,La Libertad,Marketplace,6,35,0.03,203.7,30.0,Plin
V00090,2024-02-24,C0397,Hogar,Guantes de trabajo,Seguridad,Junín,App,4,22,0.1,79.2,16.68,Plin
V00091,2024-02-10,C0187,Hogar,Cemento 42.5kg,Construcción,Cusco,App,7,32,0.08,206.08,26.41,Tarjeta
V00092,2025-06-24,C0370,Profesional,Alicate,Herramientas,Cusco,Tienda,5,38,0.08,174.8,54.26,Tarjeta
V00093,2025-11-26,C0258,Profesional,Martillo profesional,Herramientas,Arequipa,Tienda,5,65,0.08,299.0,36.18,Tarjeta
V00094,2024-10-30,C0427,Hogar,Brocha 3 pulgadas,Pinturas,Piura,Tienda,7,18,0.05,119.7,20.62,Efectivo
V00095,2025-02-05,C0444,Hogar,Brocha 3 pulgadas,Pinturas,Piura,Tienda,5,18,0.03,87.3,15.75,Tarjeta
V00096,2025-04-11,C0149,Hogar,Llave de paso,Plomería,Arequipa,Web,6,28,0.08,154.56,52.51,Tarjeta
V00097,2024-02-14,C0197,Empresa,Pintura látex 4L,Pinturas,Junín,Tienda,7,95,0.05,631.75,158.54,Plin
V00098,2025-02-09,C0009,Profesional,Martillo profesional,Herramientas,La Libertad,Tienda,3,65,0.0,195.0,32.06,Transferencia
V00099,2025-01-02,C0271,Hogar,Llave de paso,Plomería,Cusco,Tienda,3,28,0.1,75.6,21.58,Efectivo
V00100,2025-12-20,C0372,Profesional,Foco LED,Electricidad,Arequipa,Tienda,3,15,0.1,40.5,9.58,Transferencia
V00101,2024-09-10,C0438,Hogar,Guantes de trabajo,Seguridad,Lima,App,2,22,0.03,42.68,6.58,Plin
V00102,2025-11-25,C0498,Profesional,Cable eléctrico 10m,Electricidad,Junín,Marketplace,6,42,0.03,244.44,54.94,Efectivo
V00103,2024-08-21,C0051,Profesional,Cemento 42.5kg,Construcción,Junín,Web,6,32,0.0,192.0,46.79,Efectivo
V00104,2025-06-24,C0052,Hogar,Casco de seguridad,Seguridad,Lima,Tienda,4,35,0.0,140.0,46.36,Yape
V00105,2024-02-04,C0026,Hogar,Casco de seguridad,Seguridad,Arequipa,Tienda,4,35,0.05,133.0,25.11,Yape
V00106,2024-12-24,C0198,Hogar,Guantes de trabajo,Seguridad,Lima,Tienda,5,22,0.0,110.0,20.51,Tarjeta
V00107,2024-07-19,C0245,Hogar,Tubo PVC 1/2,Plomería,Cusco,App,7,8,0.0,56.0,12.98,Plin
V00108,2025-03-12,C0122,Profesional,Llave de paso,Plomería,La Libertad,Tienda,6,28,0.03,162.96,31.12,Transferencia
V00109,2024-12-27,C0231,Profesional,Brocha 3 pulgadas,Pinturas,Junín,Tienda,3,18,0.1,48.6,6.35,Tarjeta
V00110,2025-11-12,C0095,Hogar,Cemento 42.5kg,Construcción,Lima,Web,1,32,0.1,28.8,3.51,Tarjeta
V00111,2025-05-17,C0425,Hogar,Llave de paso,Plomería,Junín,Web,2,28,0.05,53.2,13.29,Efectivo
V00112,2024-07-31,C0128,Empresa,Llave de paso,Plomería,Arequipa,Web,2,28,0.08,51.52,15.88,Plin
V00113,2024-04-18,C0160,Profesional,Guantes de trabajo,Seguridad,Lima,Tienda,7,22,0.03,149.38,44.65,Transferencia
V00114,2025-09-22,C0015,Hogar,Foco LED,Electricidad,Cusco,Tienda,3,15,0.03,43.65,5.99,Tarjeta
V00115,2025-08-26,C0159,Empresa,Cable eléctrico 10m,Electricidad,Lima,Tienda,6,42,0.05,239.4,67.63,Plin
V00116,2025-08-03,C0254,Empresa,Alicate,Herramientas,Junín,Tienda,2,38,0.05,72.2,11.41,Tarjeta
V00117,2025-02-22,C0449,Empresa,Foco LED,Electricidad,Cusco,Web,7,15,0.05,99.75,14.76,Plin
V00118,2024-04-06,C0148,Profesional,Pintura látex 4L,Pinturas,La Libertad,Tienda,2,95,0.0,190.0,47.65,Efectivo
V00119,2025-09-05,C0127,Profesional,Taladro inalámbrico,Herramientas,Junín,Tienda,5,260,0.0,1300.0,405.93,Plin
V00120,2024-07-14,C0380,Empresa,Alicate,Herramientas,Lima,Web,5,38,0.05,180.5,44.17,Plin
V00121,2024-11-08,C0204,Hogar,Casco de seguridad,Seguridad,Piura,Tienda,1,35,0.08,32.2,7.55,Efectivo
V00122,2024-07-12,C0090,Hogar,Martillo profesional,Herramientas,La Libertad,Marketplace,5,65,0.0,325.0,107.75,Efectivo
V00123,2025-04-16,C0440,Hogar,Pintura látex 4L,Pinturas,Cusco,App,2,95,0.05,180.5,50.79,Plin
V00124,2024-11-20,C0053,Empresa,Cable eléctrico 10m,Electricidad,Piura,App,6,42,0.08,231.84,56.89,Efectivo
V00125,2024-11-29,C0012,Empresa,Foco LED,Electricidad,La Libertad,App,1,15,0.0,15.0,4.25,Yape
V00126,2024-09-11,C0305,Profesional,Casco de seguridad,Seguridad,Cusco,Web,7,35,0.03,237.65,45.2,Plin
V00127,2024-09-04,C0189,Hogar,Foco LED,Electricidad,Piura,Tienda,7,15,0.05,99.75,16.29,Tarjeta
V00128,2025-06-15,C0122,Hogar,Cemento 42.5kg,Construcción,Cusco,Marketplace,5,32,0.03,155.2,51.23,Transferencia
V00129,2024-12-16,C0262,Profesional,Tubo PVC 1/2,Plomería,Cusco,Tienda,2,8,0.0,16.0,2.57,Yape
V00130,2025-05-07,C0248,Hogar,Taladro inalámbrico,Herramientas,Junín,Tienda,4,260,0.1,936.0,246.69,Yape
V00131,2024-03-17,C0493,Empresa,Cemento 42.5kg,Construcción,Cusco,Tienda,6,32,0.08,176.64,56.24,Efectivo
V00132,2024-11-06,C0049,Profesional,Tubo PVC 1/2,Plomería,Piura,Web,1,8,0.03,7.76,1.88,Transferencia
V00133,2024-03-18,C0426,Profesional,Foco LED,Electricidad,Arequipa,Tienda,2,15,0.03,29.1,4.52,Transferencia
V00134,2024-01-23,C0387,Hogar,Guantes de trabajo,Seguridad,Arequipa,Tienda,3,22,0.03,64.02,18.39,Efectivo
V00135,2024-05-09,C0424,Hogar,Pintura látex 4L,Pinturas,Arequipa,Web,7,95,0.0,665.0,118.5,Plin
V00136,2025-02-23,C0438,Hogar,Pintura látex 4L,Pinturas,Arequipa,Tienda,2,95,0.05,180.5,55.47,Plin
V00137,2024-02-24,C0444,Profesional,Cemento 42.5kg,Construcción,Junín,Web,2,32,0.0,64.0,20.92,Plin
V00138,2024-09-21,C0066,Hogar,Llave de paso,Plomería,Junín,Web,4,28,0.05,106.4,22.94,Efectivo
V00139,2025-12-02,C0104,Hogar,Guantes de trabajo,Seguridad,La Libertad,Tienda,7,22,0.0,154.0,37.26,Tarjeta
V00140,2024-02-22,C0233,Hogar,Martillo profesional,Herramientas,Arequipa,Tienda,7,65,0.03,441.35,112.01,Plin
V00141,2024-09-28,C0235,Hogar,Guantes de trabajo,Seguridad,Piura,Tienda,7,22,0.08,141.68,40.12,Efectivo
V00142,2025-04-25,C0312,Profesional,Foco LED,Electricidad,Arequipa,Tienda,1,15,0.03,14.55,4.29,Transferencia
V00143,2025-07-05,C0002,Empresa,Pintura látex 4L,Pinturas,Junín,Tienda,7,95,0.03,645.05,168.09,Yape
V00144,2025-07-29,C0317,Hogar,Tubo PVC 1/2,Plomería,Lima,Tienda,4,8,0.0,32.0,4.91,Efectivo
V00145,2025-04-26,C0300,Profesional,Tubo PVC 1/2,Plomería,Arequipa,Tienda,6,8,0.05,45.6,12.09,Efectivo
V00146,2025-03-02,C0021,Hogar,Foco LED,Electricidad,Junín,App,2,15,0.05,28.5,8.72,Efectivo
V00147,2024-05-05,C0152,Empresa,Cemento 42.5kg,Construcción,Piura,App,7,32,0.05,212.8,56.43,Yape
V00148,2025-03-06,C0255,Empresa,Tubo PVC 1/2,Plomería,Junín,Web,3,8,0.05,22.8,6.35,Plin
V00149,2024-07-07,C0063,Hogar,Tubo PVC 1/2,Plomería,Junín,Web,3,8,0.03,23.28,5.05,Transferencia
V00150,2025-08-11,C0099,Profesional,Brocha 3 pulgadas,Pinturas,La Libertad,Tienda,5,18,0.0,90.0,17.27,Efectivo
V00151,2025-07-13,C0070,Hogar,Guantes de trabajo,Seguridad,Junín,Marketplace,5,22,0.0,110.0,19.86,Transferencia
V00152,2025-07-16,C0477,Profesional,Brocha 3 pulgadas,Pinturas,Piura,Web,2,18,0.05,34.2,9.38,Yape
V00153,2024-11-17,C0343,Hogar,Taladro inalámbrico,Herramientas,Arequipa,Marketplace,3,260,0.1,702.0,145.97,Plin
V00154,2025-09-11,C0427,Hogar,Casco de seguridad,Seguridad,La Libertad,Web,5,35,0.03,169.75,55.32,Plin
V00155,2024-10-21,C0457,Empresa,Llave de paso,Plomería,Junín,Marketplace,5,28,0.03,135.8,23.59,Efectivo
V00156,2024-03-17,C0241,Profesional,Taladro inalámbrico,Herramientas,Piura,Web,6,260,0.08,1435.2,413.01,Yape
V00157,2024-09-22,C0205,Hogar,Cable eléctrico 10m,Electricidad,Arequipa,Marketplace,3,42,0.03,122.22,30.42,Efectivo
V00158,2024-11-28,C0399,Profesional,Foco LED,Electricidad,Junín,App,2,15,0.0,30.0,5.82,Tarjeta
V00159,2024-07-28,C0097,Hogar,Cable eléctrico 10m,Electricidad,Lima,Web,1,42,0.03,40.74,13.84,Plin
V00160,2025-11-17,C0069,Profesional,Guantes de trabajo,Seguridad,Junín,Marketplace,7,22,0.1,138.6,18.76,Yape
V00161,2025-02-24,C0089,Hogar,Pintura látex 4L,Pinturas,Arequipa,Web,5,95,0.0,475.0,144.0,Plin
V00162,2024-01-18,C0500,Profesional,Cemento 42.5kg,Construcción,Lima,App,5,32,0.05,152.0,51.41,Tarjeta
V00163,2024-05-09,C0213,Hogar,Martillo profesional,Herramientas,Cusco,Tienda,7,65,0.03,441.35,97.74,Transferencia
V00164,2025-11-15,C0209,Hogar,Cemento 42.5kg,Construcción,Junín,App,6,32,0.08,176.64,53.11,Transferencia
V00165,2025-02-20,C0440,Hogar,Pintura látex 4L,Pinturas,Junín,Web,4,95,0.08,349.6,53.02,Tarjeta
V00166,2024-03-04,C0219,Profesional,Cemento 42.5kg,Construcción,Lima,Web,1,32,0.0,32.0,3.84,Tarjeta
V00167,2024-02-17,C0431,Profesional,Brocha 3 pulgadas,Pinturas,Arequipa,App,6,18,0.0,108.0,16.45,Plin
V00168,2025-03-05,C0129,Profesional,Taladro inalámbrico,Herramientas,Junín,App,1,260,0.03,252.2,71.2,Plin
V00169,2025-04-02,C0105,Profesional,Brocha 3 pulgadas,Pinturas,La Libertad,Tienda,4,18,0.03,69.84,11.75,Tarjeta
V00170,2024-02-14,C0200,Empresa,Tubo PVC 1/2,Plomería,La Libertad,Web,2,8,0.0,16.0,4.82,Tarjeta
V00171,2025-11-27,C0488,Empresa,Pintura látex 4L,Pinturas,Cusco,Tienda,4,95,0.03,368.6,115.19,Tarjeta
V00172,2024-01-05,C0284,Profesional,Llave de paso,Plomería,Cusco,App,5,28,0.03,135.8,38.25,Efectivo
V00173,2024-09-28,C0244,Hogar,Llave de paso,Plomería,Junín,App,1,28,0.0,28.0,7.07,Plin
V00174,2025-07-05,C0136,Profesional,Martillo profesional,Herramientas,Lima,Web,6,65,0.05,370.5,75.87,Yape
V00175,2024-01-07,C0107,Empresa,Cable eléctrico 10m,Electricidad,Piura,Tienda,5,42,0.0,210.0,25.25,Transferencia
V00176,2025-09-06,C0468,Hogar,Guantes de trabajo,Seguridad,Cusco,Web,7,22,0.05,146.3,32.88,Yape
V00177,2025-10-14,C0050,Hogar,Llave de paso,Plomería,Lima,Tienda,2,28,0.05,53.2,8.89,Plin
V00178,2024-09-08,C0181,Hogar,Taladro inalámbrico,Herramientas,Arequipa,Tienda,1,260,0.08,239.2,45.56,Yape
V00179,2024-01-24,C0465,Hogar,Casco de seguridad,Seguridad,Piura,Tienda,5,35,0.0,175.0,55.2,Tarjeta
V00180,2025-12-04,C0378,Profesional,Llave de paso,Plomería,Piura,Marketplace,5,28,0.0,140.0,43.05,Plin
V00181,2024-12-08,C0475,Profesional,Llave de paso,Plomería,La Libertad,Tienda,1,28,0.03,27.16,5.19,Efectivo
V00182,2024-07-30,C0486,Hogar,Alicate,Herramientas,Piura,Web,7,38,0.05,252.7,57.77,Yape
V00183,2025-12-18,C0052,Empresa,Llave de paso,Plomería,Lima,Tienda,1,28,0.03,27.16,4.41,Plin
V00184,2024-10-04,C0464,Empresa,Brocha 3 pulgadas,Pinturas,Piura,Tienda,3,18,0.03,52.38,13.58,Yape
V00185,2024-07-31,C0330,Profesional,Cemento 42.5kg,Construcción,Cusco,Tienda,4,32,0.05,121.6,26.95,Yape
V00186,2024-12-31,C0362,Hogar,Taladro inalámbrico,Herramientas,La Libertad,Web,3,260,0.0,780.0,122.1,Yape
V00187,2025-12-10,C0464,Profesional,Alicate,Herramientas,Lima,Tienda,6,38,0.03,221.16,66.77,Transferencia
V00188,2025-11-04,C0290,Hogar,Cable eléctrico 10m,Electricidad,Arequipa,App,7,42,0.03,285.18,92.19,Tarjeta
V00189,2024-04-20,C0427,Profesional,Guantes de trabajo,Seguridad,Junín,Tienda,4,22,0.0,88.0,24.95,Plin
V00190,2025-12-23,C0187,Profesional,Foco LED,Electricidad,Lima,Tienda,6,15,0.03,87.3,27.35,Yape
V00191,2024-06-24,C0483,Empresa,Llave de paso,Plomería,Piura,Tienda,6,28,0.05,159.6,37.99,Efectivo
V00192,2024-03-26,C0051,Profesional,Casco de seguridad,Seguridad,Arequipa,Web,5,35,0.08,161.0,32.58,Plin
V00193,2025-11-14,C0185,Hogar,Cable eléctrico 10m,Electricidad,Lima,App,7,42,0.05,279.3,59.63,Tarjeta
V00194,2025-06-17,C0438,Hogar,Pintura látex 4L,Pinturas,La Libertad,Web,6,95,0.03,552.9,103.3,Plin
V00195,2024-03-24,C0189,Profesional,Llave de paso,Plomería,Lima,Web,5,28,0.0,140.0,37.38,Tarjeta
V00196,2025-02-23,C0095,Hogar,Casco de seguridad,Seguridad,Junín,Marketplace,4,35,0.0,140.0,21.1,Tarjeta
V00197,2024-06-28,C0041,Profesional,Pintura látex 4L,Pinturas,La Libertad,Web,3,95,0.08,262.2,87.67,Efectivo
V00198,2024-05-29,C0268,Empresa,Tubo PVC 1/2,Plomería,Cusco,Tienda,4,8,0.03,31.04,3.97,Efectivo
V00199,2024-10-11,C0023,Empresa,Pintura látex 4L,Pinturas,Piura,Tienda,5,95,0.03,460.75,146.82,Efectivo
V00200,2025-06-11,C0268,Empresa,Cemento 42.5kg,Construcción,La Libertad,Tienda,1,32,0.08,29.44,4.54,Plin
V00201,2024-07-30,C0156,Hogar,Alicate,Herramientas,Arequipa,Marketplace,4,38,0.0,152.0,50.64,Yape
V00202,2025-01-30,C0416,Empresa,Pintura látex 4L,Pinturas,Arequipa,Marketplace,1,95,0.08,87.4,24.1,Efectivo
V00203,2024-10-10,C0272,Empresa,Cable eléctrico 10m,Electricidad,Junín,App,1,42,0.08,38.64,9.28,Efectivo
V00204,2024-07-23,C0181,Hogar,Alicate,Herramientas,Lima,Tienda,4,38,0.05,144.4,29.6,Tarjeta
V00205,2025-09-02,C0307,Hogar,Foco LED,Electricidad,Junín,Tienda,6,15,0.03,87.3,28.35,Tarjeta
V00206,2025-04-30,C0469,Empresa,Cemento 42.5kg,Construcción,Lima,Tienda,7,32,0.0,224.0,52.3,Yape
V00207,2024-04-18,C0285,Empresa,Tubo PVC 1/2,Plomería,Junín,Web,2,8,0.0,16.0,2.61,Plin
V00208,2025-04-21,C0433,Empresa,Alicate,Herramientas,Lima,Tienda,2,38,0.08,69.92,17.89,Yape
V00209,2025-09-12,C0190,Profesional,Llave de paso,Plomería,Lima,Tienda,2,28,0.03,54.32,17.82,Plin
V00210,2024-04-28,C0218,Hogar,Cable eléctrico 10m,Electricidad,Piura,Tienda,3,42,0.05,119.7,32.08,Transferencia
V00211,2025-03-06,C0249,Profesional,Brocha 3 pulgadas,Pinturas,Lima,Web,7,18,0.0,126.0,18.09,Plin
